[INFO] [2022-03-03 15:26:20,192] [attacker_B26] started 
[INFO] [2022-03-03 15:26:20,383] [attacker_B31] started 
[INFO] [2022-03-03 15:26:20,415] [attacker_B32] started 
[INFO] [2022-03-03 15:26:20,419] [attacker_B28] started 
[INFO] [2022-03-03 15:26:20,851] [attacker_B27] started 
[INFO] [2022-03-03 15:26:21,168] [attacker_B34] started 
[INFO] [2022-03-03 15:26:21,616] [attacker_B30] started 
[INFO] [2022-03-03 15:26:21,731] [attacker_B29] started 
[INFO] [2022-03-03 15:26:22,011] [attacker_B35] started 
[INFO] [2022-03-03 15:26:22,061] [attacker_B36] started 
[INFO] [2022-03-03 15:26:22,405] [attacker_B37] started 
[INFO] [2022-03-03 15:26:22,422] [attacker_B38] started 
[INFO] [2022-03-03 15:26:22,832] [attacker_B39] started 
[INFO] [2022-03-03 15:26:23,465] [attacker_B40] started 
[INFO] [2022-03-03 15:26:24,627] [attacker_B42] started 
[INFO] [2022-03-03 15:26:24,795] [attacker_B41] started 
[INFO] [2022-03-03 15:26:24,927] [attacker_B43] started 
[INFO] [2022-03-03 15:26:24,452] [attacker_B44] started 
[INFO] [2022-03-03 15:26:25,575] [attacker_B47] started 
[INFO] [2022-03-03 15:26:25,577] [attacker_B48] started 
[INFO] [2022-03-03 15:26:25,694] [attacker_B45] started 
[INFO] [2022-03-03 15:26:25,800] [attacker_B46] started 
[INFO] [2022-03-03 15:26:27,757] [attacker_B49] started 
[INFO] [2022-03-03 15:26:27,753] [attacker_B50] started 
[INFO] [2022-03-03 15:26:27,748] [attacker_B51] started 
[INFO] [2022-03-03 15:26:30,516] [attacker_B53] started 
[INFO] [2022-03-03 15:26:30,640] [attacker_B52] started 
[INFO] [2022-03-03 15:26:30,993] [attacker_B57] started 
[INFO] [2022-03-03 15:26:31,557] [attacker_B59] started 
[INFO] [2022-03-03 15:26:31,567] [attacker_B58] started 
[INFO] [2022-03-03 15:26:30,798] [attacker_B54] started 
[INFO] [2022-03-03 15:26:32,991] [attacker_B56] started 
[INFO] [2022-03-03 15:26:33,949] [attacker_B60] started 
[INFO] [2022-03-03 15:26:33,519] [attacker_B55] started 
[INFO] [2022-03-03 15:26:35,123] [attacker_B61] started 
[INFO] [2022-03-03 15:26:35,659] [attacker_B64] started 
[INFO] [2022-03-03 15:26:37,087] [attacker_B69] started 
[INFO] [2022-03-03 15:26:37,176] [attacker_B67] started 
[INFO] [2022-03-03 15:26:36,929] [attacker_B62] started 
[INFO] [2022-03-03 15:26:37,340] [attacker_B63] started 
